olddate,date,time,hour,Species,Re,Vi,Lo,Dr,Fe,Gr,N,P,Nso,PSo,O,OOS,Total,Z1,Z2,Z3,Z4,Z5,Z6,Total
12/7/2018,12/7/2018,9am ,9,GK,1,,,,5,,,,,,,,,,,3,3,,,
,12/7/2018,10am,10,GK,2,,,,4,,,,,,,,,1,,3,2,,,
,12/7/2018,11am,11,GK,5,,,,1,,,,,,,,,4,,,,2,,
,12/7/2018,12pm,12,GK,6,,,,,,,,,,,,,4,,,2,,,
,12/7/2018,1pm,13,GK,6,,,,,,,,,,,,,4,,,2,,,
,12/7/2018,2pm,14,GK,3,2,,,,,,,,,,,,,,,6,,,
,12/7/2018,3pm,15,GK,6,,,,,,,,,,,,,,,2,4,,,
,12/7/2018,4pm,16,GK,1,,1,,4,,,,,,,,,,,,4,1,1,
,12/7/2018,5pm,17,GK,2,,,,4,,,,,,,,,,,,,1,5,
,12/7/2018,6pm,18,GK,,1,,,4,1,,,,,,,,,,,3,1,2,
12/8/2018,12/8/2018,9am ,9,GK,,1,1,,4,,,,,,,,,,,3,3,,,
,12/8/2018,10am,10,GK,,3,,,3,,,,,,,,,,,,6,,,
,12/8/2018,11am,11,GK,4,,,,2,,,,,,,,,,,1,5,,,
,12/8/2018,12pm,12,GK,6,,,,,,,,,,,,,,,1,4,1,,
,12/8/2018,1pm,13,GK,5,1,,,,,,,,,,,,,,,5,1,,
,12/8/2018,2pm,14,GK,5,,,,1,,,,,,,,,,,,6,,,
,12/8/2018,3pm,15,GK,1,3,,,2,,,,,,,,,,,,5,,1,
,12/8/2018,4pm,16,GK,,,,,4,,,,,,2,,,,,1,5,,,
,12/8/2018,5pm,17,GK,,,1,,3,,,2,,,,,,,,,1,,5,
,12/8/2018,6pm,18,GK,1,4,,,1,,,,,,,,,,,,1,3,2,
12/9/2018,12/9/2018,9am ,9,GK,,,,,2,2,,,,,,,,,,4,2,,,
,12/9/2018,10am,10,GK,2,1,,,2,,,,,,,,,,,4,1,,,
,12/9/2018,11am,11,GK,1,,,,5,,,,,,,,,,,,6,,,
,12/9/2018,12pm,12,GK,5,,,,1,,,,,,,,,,,,6,,,
,12/9/2018,1pm,13,GK,6,,,,,,,,,,,,,,,3,3,,,
,12/9/2018,2pm,14,GK,6,,,,,,,,,,,,,,,3,3,,,
,12/9/2018,3pm,15,GK,4,1,,,,1,,,,,,,,,,1,4,1,,
,12/9/2018,4pm,16,GK,2,,,,4,,,,,,,,,,,,6,,,
,12/9/2018,5pm,17,GK,,3,2,,1,,,,,,,,,,,4,2,,,
,12/9/2018,6pm,18,GK,3,,1,,1,1,,,,,,,,,,,4,,2,
10/12/2018,12/10/2018,9am ,9,GK,6,,,,,,,,,,,,,,,,,,6,
,12/10/2018,10am,10,GK,6,,,,,,,,,,,,,,,3,3,,,
,12/10/2018,11am,11,GK,1,,,,5,,,,,,,,,,,,6,,,
,12/10/2018,12pm,12,GK,6,,,,,,,,,,,,,,,1,5,,,
,12/10/2018,1pm,13,GK,5,1,,,,,,,,,,,,,,3,3,,,
,12/10/2018,2pm,14,GK,,5,,,,,,,,,,1,,,,,5,,,
,12/10/2018,3pm,15,GK,,,,,6,,,,,,,,,,,,6,,,
,12/10/2018,6pm,18,GK,,,,,6,,,,,,,,,,,1,5,,,
12/11/2018,12/11/2018,9am ,9,GK,,2,,,3,,,,,,,1,,,,,4,,2,
,12/11/2018,10am,10,GK,2,1,1,,1,1,,,,,,,,,,6,,,,
,12/11/2018,11am,11,GK,3,1,,,2,,,,,,,,,,,2,4,,,
,12/11/2018,12pm,12,GK,3,2,,,1,,,,,,,,,,,2,4,,,
,12/11/2018,1pm,13,GK,,1,1,,4,,,,,,,,,,1,,5,,,
,12/11/2018,2pm,14,GK,3,,,,3,,,,,,,,,,,,6,,,
,12/11/2018,3pm,15,GK,5,,,,,1,,,,,,,,,,,,,6,
,12/11/2018,4pm,16,GK,,2,,,4,,,,,,,,,,,3,3,,,
,12/11/2018,5pm,17,GK,,,,,6,,,,,,,,,,,,6,,,
,12/11/2018,6pm,18,GK,,,,,6,,,,,,,,,,,,6,,,
12/12/2018,12/12/2018,9am ,9,GK,4,2,,,,,,,,,,,,,,2,4,,,
,12/12/2018,10am,10,GK,3,,,,3,,,,,,,,,,,5,1,,,
,12/12/2018,11am,11,GK,,,,,6,,,,,,,,,,,,6,,,
,12/12/2018,12pm,12,GK,6,,,,,,,,,,,,,,,3,3,,,
,12/12/2018,1pm,13,GK,3,,,,2,1,,,,,,,,,,4,2,,,
,12/12/2018,2pm,14,GK,4,,,,2,,,,,,,,,,,1,5,,,
,12/12/2018,3pm,15,GK,1,,,,5,,,,,,,,,,,,5,,1,
,12/12/2018,4pm,16,GK,,,,,6,,,,,,,,,,,,6,,,
,12/12/2018,5pm,17,GK,,,,,6,,,,,,,,,,,,6,,,
,12/12/2018,6pm,18,GK,4,,,,2,,,,,,,,,,,,3,3,,
12/13/2018,12/13/2018,9am ,9,GK,2,1,,,1,2,,,,,,,,,,6,,,,
,12/13/2018,10am,10,GK,,6,,,,,,,,,,,,,,,6,,,
,12/13/2018,11am,11,GK,1,3,,,2,,,,,,,,,,,4,2,,,
,12/13/2018,12pm,12,GK,,2,1,,3,,,,,,,,,,,,6,,,
,12/13/2018,1pm,13,GK,4,,1,,1,,,,,,,,,,,2,4,,,
,12/13/2018,2pm,14,GK,4,,,,2,,,,,,,,,,,,4,2,,
,12/13/2018,3pm,15,GK,3,1,,,2,,,,,,,,,,,2,4,,,
,12/13/2018,4pm,16,GK,2,,,,4,,,,,,,,,,,,6,,,
,12/13/2018,5pm,17,GK,1,2,1,,2,,,,,,,,,,,,,,6,
,12/13/2018,6pm,18,GK,1,1,,,,,,,,,,,,,,,5,,1,
12/14/2018,12/14/2018,9am ,9,GK,,,,,6,,,,,,,,,,,,6,,,
,12/14/2018,10am,10,GK,5,,,,1,,,,,,,,,,,4,2,,,
,12/14/2018,11am,11,GK,3,,,,3,,,,,,,,,,,,6,,,
,12/14/2018,12pm,12,GK,4,,,,1,1,,,,,,,,,,,5,1,,
,12/14/2018,1pm,13,GK,5,1,,,,,,,,,,,,,,,6,,,
,12/14/2018,2pm,14,GK,3,2,,,1,,,,,,,,,,,,6,,,
,12/14/2018,3pm,15,GK,5,,,,,,,,,,,1,,,,,5,,,
,12/14/2018,4pm,16,GK,4,,,,,2,,,,,,,,,,,6,,,
,12/14/2018,5pm,17,GK,,,,,4,2,,,,,,,,,,,6,,,
,12/14/2018,6pm,18,GK,1,1,3,,,1,,,,,,,,,,,,,6,
12/15/2018,12/15/2018,9am ,9,GK,1,3,,,2,,,,,,,,,1,2,,3,,,
,12/15/2018,10am,10,GK,5,1,,,,,,,,,,,,,,4,1,,,
,12/15/2018,11am,11,GK,,,,,6,,,,,,,,,,,,6,,,
,12/15/2018,12pm,12,GK,3,1,,,2,,,,,,,,,,,1,5,,,
,12/15/2018,1pm,13,GK,4,1,,,1,,,,,,,,,,,1,5,,,
,12/15/2018,2pm,14,GK,6,,,,,,,,,,,,,,,,6,,,
,12/15/2018,3pm,15,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/15/2018,4pm,16,GK,6,,,,,,,,,,,,,,,,6,,,
,12/15/2018,5pm,17,GK,,,1,,4,1,,,,,,,,,,4,2,,,
,12/15/2018,6pm,18,GK,3,1,,,2,,,,,,,,,,,,3,,3,
12/16/2018,12/16/2018,9am ,9,GK,,2,,,3,1,,,,,,,,,,5,1,,,
,12/16/2018,10am,10,GK,1,,,,4,1,,,,,,,,,,6,,,,
,12/16/2018,11am,11,GK,2,1,,,2,1,,,,,,,,,,,6,,,
,12/16/2018,12pm,12,GK,4,1,,,1,,,,,,,,,,,2,4,,,
,12/16/2018,1pm,13,GK,4,1,,1,,,,,,,,,,,,6,,,,
,12/16/2018,2pm,14,GK,3,1,,,2,,,,,,,,,,,,6,,,
,12/16/2018,3pm,15,GK,5,,,,,1,,,,,,,,,,,6,,,
,12/16/2018,4pm,16,GK,6,,,,,,,,,,,,,,,,6,,,
,12/16/2018,5pm,17,GK,2,1,,,3,,,,,,,,,,,,4,2,,
,12/16/2018,6pm,18,GK,2,,,,3,1,,,,,,,,,,1,4,,1,
12/17/2018,12/17/2018,9am ,9,GK,,6,,,,,,,,,,,,,,,6,,,
,12/17/2018,10am,10,GK,2,,,,2,,2,,,,,,,,,4,2,,,
,12/17/2018,11am,11,GK,1,1,1,,3,,,,,,,,,5,,1,,,,
,12/17/2018,12pm,12,GK,2,3,,,1,,,,,,,,,,,,6,,,
,12/17/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/17/2018,2pm,14,GK,4,1,1,,,,,,,,,,,,,1,5,,,
,12/17/2018,3pm,15,GK,4,1,,,1,,,,,,,,,,,1,5,,,
,12/17/2018,4pm,16,GK,3,,,,3,,,,,,,,,,,1,5,,,
,12/17/2018,5pm,17,GK,1,,,,5,,,,,,,,,,,,,3,3,
,12/17/2018,6pm,18,GK,,4,,,,,2,,,,,,,,,3,2,,1,
12/18/2018,12/18/2018,9am ,9,GK,,,,,4,,2,,,,,,,,,6,,,,
,12/18/2018,10am,10,GK,1,1,,,3,1,,,,,,,,,,3,3,,,
,12/18/2018,11am,11,GK,5,1,,,,,,,,,,,,,,1,5,,,
,12/18/2018,12pm,12,GK,2,,,,3,1,,,,,,,,,,6,,,,
,12/18/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/18/2018,2pm,14,GK,3,,,,2,1,,,,,,,,,,,5,1,,
,12/18/2018,3pm,15,GK,6,,,,,,,,,,,,,,,1,5,,,
,12/18/2018,4pm,16,GK,3,,,,2,1,,,,,,,,,,1,4,1,,
,12/18/2018,5pm,17,GK,,2,1,,2,1,,,,,,,,,,,5,,1,
,12/18/2018,6pm,18,GK,2,,,,2,2,,,,,,,,,,,2,,4,
12/19/2018,12/19/2018,9am ,9,GK,,,,,6,,,,,,,,,,,,6,,,
,12/19/2018,10am,10,GK,5,,,,1,,,,,,,,,,,4,2,,,
,12/19/2018,11am,11,GK,2,1,,,3,,,,,,,,,,,,5,1,,
,12/19/2018,12pm,12,GK,3,,,,3,,,,,,,,,,,1,5,,,
,12/19/2018,1pm,13,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/19/2018,2pm,14,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/19/2018,3pm,15,GK,5,1,,,,,,,,,,,,,,1,5,,,
,12/19/2018,4pm,16,GK,,1,,1,3,1,,,,,,,,,,,4,1,1,
,12/19/2018,5pm,17,GK,1,1,,,4,,,,,,,,,,,,5,,1,
,12/19/2018,6pm,18,GK,3,,,,3,,,,,,,,,,,2,3,,1,
12/20/2018,12/20/2018,9am ,9,GK,2,,,,4,,,,,,,,,,,,5,1,,
,12/20/2018,10am,10,GK,1,,,,5,,,,,,,,,,,1,5,,,
,12/20/2018,11am,11,GK,5,,,1,,,,,,,,,,,,,6,,,
,12/20/2018,12pm,12,GK,4,,,,1,1,,,,,,,,,,,6,,,
,12/20/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/20/2018,2pm,14,GK,5,,,,1,,,,,,,,,6,,,,,,
,12/20/2018,3pm,15,GK,3,,,,3,,,,,,,,,2,,1,3,,,
,12/20/2018,4pm,16,GK,3,1,,,2,,,,,,,,,,,2,4,,,
,12/20/2018,5pm,17,GK,2,2,,,2,,,,,,,,,,,,,1,5,
,12/20/2018,6pm,18,GK,3,,,,2,1,,,,,,,,,,,5,1,,
12/21/2018,12/21/2018,9am ,9,GK,,6,,,,,,,,,,,,3,,3,,,,
,12/21/2018,10am,10,GK,2,2,,,2,,,,,,,,,,,,6,,,
,12/21/2018,11am,11,GK,1,,,,4,1,,,,,,,,,,1,5,,,
,12/21/2018,12pm,12,GK,5,1,,,,,,,,,,,,,,1,5,,,
,12/21/2018,1pm,13,GK,5,,,,,,,,,,,1,,,,,5,,,
,12/21/2018,2pm,14,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/21/2018,3pm,15,GK,3,,,,3,,,,,,,,,,,,5,1,,
,12/21/2018,4pm,16,GK,2,,,,4,,,,,,,,,,,3,2,1,,
,12/21/2018,5pm,17,GK,3,,,,1,2,,,,,,,,,,1,3,,2,
,12/21/2018,6pm,18,GK,,,1,1,4,,,,,,,,,,,,4,,2,
12/22/2018,12/22/2018,9am ,9,GK,2,2,1,,,1,,,,,,,,,,,5,,,
,12/22/2018,10am,10,GK,4,,,,1,1,,,,,,,,,,,3,3,,
,12/22/2018,11am,11,GK,6,,,,,,,,,,,,,,,,6,,,
,12/22/2018,12pm,12,GK,1,1,1,,3,,,,,,,,,,,,4,2,,
,12/22/2018,1pm,13,GK,5,,,,,1,,,,,,,,,,,6,,,
,12/22/2018,2pm,14,GK,6,,,,,,,,,,,,,,,,6,,,
,12/22/2018,3pm,15,GK,4,1,,,,1,,,,,,,,,,,6,,,
,12/22/2018,4pm,16,GK,1,,,,5,,,,,,,,,,,,5,1,,
,12/22/2018,5pm,17,GK,2,,,,2,2,,,,,,,,,,,3,,3,
,12/22/2018,6pm,18,GK,2,,,,4,,,,,,,,,,,,3,,3,
12/23/2018,12/23/2018,9am ,9,GK,6,,,,,,,,,,,,,,3,,3,,,
,12/23/2018,10am,10,GK,4,,,,,2,,,,,,,,,,,6,,,
,12/23/2018,11am,11,GK,1,1,,,4,,,,,,,,,,,,6,,,
,12/23/2018,12pm,12,GK,6,,,,,,,,,,,,,,,,6,,,
,12/23/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/23/2018,2pm,14,GK,6,,,,,,,,,,,,,,,,6,,,
,12/23/2018,3pm,15,GK,4,1,,1,,,,,,,,,,,,1,5,,,
,12/23/2018,4pm,16,GK,4,,1,,,1,,,,,,,,,,,6,,,
,12/23/2018,5pm,17,GK,2,,,,4,,,,,,,,,,,,6,,,
,12/23/2018,6pm,18,GK,,1,,,4,1,,,,,,,,,,,6,,,
12/24/2018,12/24/2018,9am ,9,GK,,3,,,1,2,,,,,,,,,,6,,,,
,12/24/2018,10am,10,GK,2,1,,,3,,,,,,,,,,,,4,2,,
,12/24/2018,11am,11,GK,,,1,,5,,,,,,,,,,,5,,1,,
,12/24/2018,12pm,12,GK,2,,,,3,1,,,,,,,,,,6,,,,
,12/24/2018,1pm,13,GK,6,,,,,,,,,,,,,,,6,,,,
,12/24/2018,2pm,14,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/24/2018,3pm,15,GK,4,,,,1,1,,,,,,,,,,1,4,1,,
,12/24/2018,4pm,16,GK,1,1,,,4,,,,,,,,,,,,5,,1,
,12/24/2018,5pm,17,GK,5,,,,1,,,,,,,,,,,,3,,3,
,12/24/2018,6pm,18,GK,4,,,2,,,,,,,,,,,,3,,,3,
12/25/2018,12/25/2018,9am ,9,GK,1,4,1,,,,,,,,,,,,2,,1,,3,
,12/25/2018,10am,10,GK,1,2,,,3,,,,,,,,,,,3,3,,,
,12/25/2018,11am,11,GK,,,,,6,,,,,,,,,,,,6,,,
,12/25/2018,12pm,12,GK,5,1,,,,,,,,,,,,,,,6,,,
,12/25/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/25/2018,2pm,14,GK,4,1,,1,,,,,,,,,,,,1,5,,,
,12/25/2018,3pm,15,GK,4,,,1,1,,,,,,,,,,,1,5,,,
,12/25/2018,4pm,16,GK,4,1,1,,,,,,,,,,,,,,6,,,
,12/25/2018,5pm,17,GK,1,,,,3,2,,,,,,,,,,,6,,,
,12/25/2018,6pm,18,GK,,,,,6,,,,,,,,,,,,6,,,
12/26/2018,12/26/2018,9am ,9,GK,,1,,,3,,,,,,,,,,,1,3,2,,
,12/26/2018,10am,10,GK,2,,,,3,1,,,,,,,,,,3,3,,,
,12/26/2018,11am,11,GK,3,,,,3,,,,,,,,,,,5,1,,,
,12/26/2018,12pm,12,GK,2,1,,,3,,,,,,,,,,,,6,,,
,12/26/2018,1pm,13,GK,5,1,,,,,,,,,,,,,,,6,,,
,12/26/2018,2pm,14,GK,6,,,,,,,,,,,,,,,3,3,,,
,12/26/2018,3pm,15,GK,4,,,,1,1,,,,,,,,,,4,2,,,
,12/26/2018,4pm,16,GK,4,,,,2,,,,,,,,,,,6,,,,
,12/26/2018,5pm,17,GK,3,,,,3,,,,,,,,,,,,6,,,
,12/26/2018,6pm,18,GK,2,,,,4,,,,,,,,,,,,6,,,
2/27/2019,2/27/2019,9am ,9,GK,3,,,,,,,,,,,3,,,,,,,3,
,2/27/2019,10am,10,GK,3,1,,,2,,,,,,,,,,,4,2,,,
,2/27/2019,11am,11,GK,,6,,,,,,,,,,,,,,,,6,,
,2/27/2019,12pm,12,GK,6,,,,,,,,,,,,,,,,,6,,
,2/27/2019,1pm,13,GK,6,,,,,,,,,,,,,4,,,2,,,
,2/27/2019,2pm,14,GK,6,,,,,,,,,,,,,,,,3,3,,
,2/27/2019,3pm,15,GK,,,,,6,,,,,,,,,,,,6,,,
,2/27/2019,4pm,16,GK,,3,,,2,1,,,,,,,,,,6,,,,
,2/27/2019,5pm,17,GK,6,,,,,,,,,,,,,,,,6,,,
,2/27/2019,6pm,18,GK,,,,,6,,,,,,,,,,,3,3,,,
2/28/2019,2/28/2019,9am ,9,GK,1,2,,,3,,,,,,,,,,,1,,3,2,
,2/28/2019,10am,10,GK,,,,,4,2,,,,,,,,,,,1,5,,
,2/28/2019,11am,11,GK,,,,,4,2,,,,,,,,,,,,,6,
,2/28/2019,12pm,12,GK,5,1,,,,,,,,,,,,,,,,,6,
,2/28/2019,1pm,13,GK,3,3,,,,,,,,,,,,,,,,6,,
,2/28/2019,2pm,14,GK,2,1,,,2,1,,,,,,,,,,2,2,2,,
,2/28/2019,3pm,15,GK,2,,,,3,1,,,,,,,,,,,5,1,,
,2/28/2019,4pm,16,GK,5,,,,1,,,,,,,,,,,2,3,1,,
,2/28/2019,5pm,17,GK,3,1,,,1,1,,,,,,,,,,,4,1,1,
,2/28/2019,6pm,18,GK,1,,,,5,,,,,,,,,,,,6,,,
3/1/2019,3/1/2019,9am ,9,GK,,,,,6,,,,,,,,,,,1,5,,,
,3/1/2019,10am,10,GK,4,,1,,1,,,,,,,,,,,1,1,4,,
,3/1/2019,11am,11,GK,5,,,,,1,,,,,,,,,,5,1,,,
,3/1/2019,12pm,12,GK,,,,,6,,,,,,,,,,,5,1,,,
,3/1/2019,1pm,13,GK,5,,,,,,,,,,,1,,,,5,,,,
,3/1/2019,2pm,14,GK,5,,,,,1,,,,,,,,,,,4,2,,
,3/1/2019,3pm,15,GK,,,,,6,,,,,,,,,,,,6,,,
,3/1/2019,4pm,16,GK,1,,,,5,,,,,,,,,,,5,1,,,
,3/1/2019,5pm,17,GK,1,,,,5,,,,,,,,,,,5,1,,,
,3/1/2019,6pm,18,GK,,,,,4,,,,,,,2,,,,,4,,,
3/2/2019,3/2/2019,9am ,9,GK,4,,,,1,,,,,,,1,,,,5,,,,
,3/2/2019,10am,10,GK,4,,,,1,,,,,,,1,,,,,5,,,
,3/2/2019,11am,11,GK,2,1,,,1,,,,,1,,1,,,,,5,,,
,3/2/2019,12pm,12,GK,2,1,,,2,,,,,,,1,,5,,,,,,
,3/2/2019,1pm,13,GK,4,1,,,,,,,,,,1,,2,,,2,1,,
,3/2/2019,2pm,14,GK,3,1,,,1,,,,,,,1,,2,,,2,1,,
,3/2/2019,3pm,15,GK,4,,,,1,,,,,,,1,,2,,,2,1,,
,3/2/2019,4pm,16,GK,1,,,,4,,,,,,,1,,,,3,2,,,
,3/2/2019,5pm,17,GK,2,2,,,,1,,,,,,1,,,,,3,2,,
,3/2/2019,6pm,18,GK,1,,,,4,,,,,,,1,,,,,5,,,
3/3/2019,3/3/2019,9am ,9,GK,2,,,,3,,,,,,,1,,,,,4,,1,
,3/3/2019,10am,10,GK,4,,,,2,,,,,,,,,,,,2,2,2,
,3/3/2019,11am,11,GK,5,,,,,,,,,,,,,,,,4,,2,
,3/3/2019,12pm,12,GK,2,,,,4,,,,,,,,,,,2,2,,2,
,3/3/2019,1pm,13,GK,5,1,,,,,,,,,,,,,,3,1,,2,
,3/3/2019,2pm,14,GK,1,,,,4,,,,,,1,,,,,1,4,1,,
,3/3/2019,3pm,15,GK,5,,,,1,,,,,,,,,1,,1,3,1,,
,3/3/2019,4pm,16,GK,4,,,,2,,,,,,,,,,1,,4,1,,
,3/3/2019,5pm,17,GK,1,3,,,2,,,,,,,,,,,,6,,,
,3/3/2019,6pm,18,GK,4,,,,2,,,,,,,,,,,,6,,,
3/4/2019,3/4/2019,9am ,9,GK,1,,,,5,,,,,,,,,,,,6,,,
,3/4/2019,10am,10,GK,,5,,,,,,,,,,1,,,,,5,,,
,3/4/2019,11am,11,GK,,4,,,,,,,,,,2,,,,,4,,,
,3/4/2019,12pm,12,GK,3,3,,,,,,,,,,,,,,,4,2,,
,3/4/2019,1pm,13,GK,2,,,,4,,,,,,,,,,,,5,1,,
,3/4/2019,2pm,14,GK,3,,,,3,,,,,,,,,,,,6,,,
,3/4/2019,3pm,15,GK,3,,,,2,1,,,,,,,,,,3,3,,,
,3/4/2019,4pm,16,GK,2,,,,3,1,,,,,,,,,,1,5,,,
,3/4/2019,5pm,17,GK,1,,,,5,,,,,,,,,,,,6,,,
,3/4/2019,6pm,18,GK,,,,,6,,,,,,,,,,,,6,,,
3/5/2019,3/5/2019,9am ,9,GK,1,,,,5,,,,,,,,,,,,6,,,
,3/5/2019,10am,10,GK,6,,,,,,,,,,,,,,,,6,,,
,3/5/2019,11am,11,GK,3,3,,,,,,,,,,,,,,1,5,,,
,3/5/2019,12pm,12,GK,3,2,,,1,,,,,,,,,,,,3,3,,
,3/5/2019,1pm,13,GK,,6,,,,,,,,,,,,,,,2,4,,
,3/5/2019,2pm,14,GK,6,,,,,,,,,,,,,,,,,6,,
,3/5/2019,3pm,15,GK,2,,,1,3,,,,,,,,,,,3,3,,,
,3/5/2019,4pm,16,GK,,,,,6,,,,,,,,,,,,6,,,
,3/5/2019,5pm,17,GK,,3,,,3,,,,,,,,,,,,6,,,
,3/5/2019,6pm,18,GK,,1,,,5,,,,,,,,,,,,6,,,
3/6/2019,3/6/2019,9am ,9,GK,4,,,,2,,,,,,,,,,,,2,2,2,
,3/6/2019,10am,10,GK,4,,,,,,,2,,,,,,,,,3,,3,
,3/6/2019,11am,11,GK,3,1,,,2,,,,,,,,,,,1,4,,1,
,3/6/2019,12pm,12,GK,3,1,,,2,,,,,,,,,,,,2,4,,
,3/6/2019,1pm,13,GK,6,,,,,,,,,,,,,,,,,6,,
,3/6/2019,2pm,14,GK,6,,,,,,,,,,,,,,,2,1,3,,
,3/6/2019,3pm,15,GK,2,,,,3,,,,,,,1,,,,3,2,,,
,3/6/2019,4pm,16,GK,,,,,6,,,,,,,,,,,,3,3,,
,3/6/2019,5pm,17,GK,1,2,,,3,,,,,,,,,,,2,2,2,,
,3/6/2019,6pm,18,GK,,,,,6,,,,,,,,,,,,6,,,
3/8/2019,3/8/2019,9am ,9,GK,1,3,,,2,,,,,,,,,,,1,,,5,
,3/8/2019,10am,10,GK,2,4,,,,,,,,,,,,,,1,,,5,
